permalink,published_at,_date-modified,title,description,body,,,,,image,
261,2007-04-15 08:05:08,2007-04-15 08:14:52,Enter Quanah: The Goodnight-Parker Saga begins,"Quanah Parker was the child of a Commanche father, Peta Nocona, and Cynthia Ann Parker, a white woman. Once Charles Goodnight found their encampment, Quanah would lose his mother forever...","As Indian troubles in Northwest Texas increased, concurrent with heated conflict over the reservations on the upper Brazos and Clear Fork, Goodnight and his neighbors joined forces with Capt. Jack (J. J.) Cureton's rangers, with whom he served as a scout and guide. It was Goodnight who found the trail leading to Peta Nocona's Comanche encampment on the Pease River in December 1860 and brought word of it back to Cureton and Capt. Lawrence Sullivan (Sul) Ross. [Goodnight] guided the rangers to the Indian camp and took part in the attack on December 18 in which Cynthia Ann Parker was recaptured.

H. Allen Anderson
Handbook of Texas Online",,,,,NULL,
264,2007-04-15 09:29:46,2007-04-15 09:34:10,Collected Indians,,"Much of indigenous North America's material (and still spiritual) legacy is collected, preserved and accessible in places such as the National Cowboy and Western Heritage Museum, Tulsa Oklahoma.",,,,,264_t.jpg,
266,2007-04-25 13:52:43,2007-04-27 09:04:00,"""Protecting the Stewards of Land and Livestock""",,This oldest and most powerful and still existent cattleman's association of the Texas Panhandle was formed in 1877 by the top 40 new ranchers of the region. This was the year the JA truly sprung into action. Cross the cattleman and there'd be a <i>price</i> to pay! Big Property was organizing as never before against nomadism and rustling -- so Billy the Kid beware!,,,,,266_t.jpg,
272,2007-05-07 17:26:43,2007-05-07 17:31:06,Westering,,This 1934 cover of Fortune Magazine embodies the spirit of individual and corporate entrepreneurship that cleared the way for civilization from coast to coast.,A War on Trees? Are trees the same as wood? Were there forests on the Panhandle? On the plains? Ever? When? Can we pose the question? Is it thinkable? Are dustbowls and forests two sides of one coin? How can you be sure? Does it matter? Why?,,,,272_t.jpg,
271,2007-05-03 06:46:41,2007-05-03 06:56:32,"Pricing the Buffalo, Setting History's Dinner Table","Before the hunters invaded Texas, the market had <i>priced</i> the buffalo. The slaughter was so efficient that the remaining herds panicked, and both the hunted and their hunters - outfits led by James White, Mike O'Brian and the Mooar Bros. -- turned southwest, to tragic effect.","About 1871 the packers came to fully realize the superiority of buffalo meat, and this led to its immediate introduction and universal popularity as a fod. The tallow was of poor quality and never commanded a very good price. The hides proved to make an inferior quality of leather, and consequently depreciated in value; the prevailing price for average hides benig about $1.00 during the greater part of the slaughtering period, and the meat sold for about 2 1/2 to 3 cents per pound. The humps, or saddles, hams and tongues was the only meat the hunter preserved, and countless thousands of buffalo were killed only for their hides, but as a buffalo in good flesh would yieled about 400 pounds of choice meat his gross valuews about $11. During 1871 and 1872 hundreds of carloads of buffalo meat were shipped from Dodge City to Kansas, Chicago and other great packing points.

There is no way of approximating the number of buffalo in the  United States when the great slaughter began. The records show that more than 3,5000,000 hides were marketed, but these records by no means show the total number of hides sold, to say nothing of the thousands of buffalo that were wantonly slaughtered but never skinned, thus going totally to waste.

Don Hampton Biggers
<i>Pictures of the Past</i>
1902",,,,,NULL,
270,2007-04-25 14:25:08,2007-04-25 14:43:57,The Bone Era Begins,"Eyewitness Testimony: How the Buffalo became <b>""The Bone Boom""</b>","After the buffalo disappeared and the hunters gone from the fields of slaughter, a great field of bleaching bones remained to speak in silent language of the unequal contest. No pen picture can every portray the full significance of these bones. They spoke of a slaughter unparalleled in the annals of history, of the passing of the animals that had been the savages' principal wealth and support: of the passing of civilization's last barrier in its westward march on the American continent, and told a story of hardships, suffering and endurance seldom equaled in the wild struggles for wealth; but when railroads were built across the country, affording convenient shipping facilities, these reminders were quickly converted into channels more profitable than sentimental. As these bones made excellent quality of fertilizer they readily commmanded from five to six dollars per ton and before <b>the bone era</b> closed, they sold for twice that amount.

Don Hampton Biggers
<i>Pictures of the Past</i>
1902",,,,,NULL,
273,2007-05-12 03:16:39,NULL,May 2007: Contact is Made,,Cornelia links Ireland and Texas as the saga goes international. Stay tuned to this space for more....,,,,,NULL,
276,2007-05-12 03:32:05,2007-05-12 03:36:05,Contact is Made: Spring 1007,,Cornelia Adair links Ireland and Texas as the saga goes international. Stay tuned to this space for more....,,,,,276_t.jpg,
277,2007-05-25 09:59:44,2007-05-25 10:12:37,"A Park in Lubbock: Homage to<br> 
Ranald ""Bad Hand"" Mackenzie",,,,,,,277_t.jpg,
279,2007-05-26 23:20:54,2007-05-26 23:23:06,Night Mare,,A night horse marked with the JA and other great brands illuminate the Panhandle night. ,,,,,279_t.jpg,
280,2007-05-28 07:07:28,NULL,"""Bad Hand"" Reined In",,"In 1884, owing to accumulated battle stress (perhaps today's syndrome), now Brig. Gen. Ranald S. Mackenzie could no longer perform his duties and was retired by the Army. This was briefly announced in the New York Times, March 1884.",,,,,280_t.jpg,
281,2007-05-28 07:25:53,2007-05-28 07:30:50,Charles Goodnight's Last Trail,,"Deemed ""The Father of the Texas Panhandle,"" Charles Goodnight's passing is noted nationwide by the Associated Press and back east, by the NY Times. He is mentioned as partner to ""Colonel"" John Adair  of Wrathdaire [misspelled], Ireland.",,,,,281_t.jpg,
282,2007-06-16 05:51:53,2007-06-16 05:56:59,Ancestral,,"Evoking spirits of the canyons before and during the comings of Coronado, Mackenzie, Goodnight and the Adair's. (Montage by R. Spiegelman)",,,,,282_t.jpg,
283,2007-06-21 21:41:23,2007-06-21 21:46:10,Quanah Parker Domesticated,,"A roadside rest in Texas named for the so-called ""Last Commanche Chief,"" who was last to return to the reservation, ending the Red River War of 1874.",,,,,283_t.jpg,
284,2007-08-20 09:30:21,2007-08-20 09:34:30,End of the Open Range,,Goodnight and Adair embraced the need to demark and privately own the Open Range. Their massive barbed wiring project for the Panhandle's set of JA Ranches -- along with railroads and the winter of 1886 -- helped to catalyze the end of the great cattle drives and of the free range cowboy's way of life.,,,,,284_t.jpg,
